frame,time_sec,vo_x,vo_y,vo_theta_deg,speed_kmh,steering_deg,action,alert_level,min_obs_dist,features
1,0.05,0.0,0.0,0.0,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
2,0.1,0.0,0.0,0.0,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
3,0.15,0.0,0.0,0.0,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
4,0.2,0.0,0.0,0.0,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
5,0.25,0.0,0.0,0.0,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
6,0.3,0.0,0.0,0.0,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
7,0.35,0.0,0.0,0.0,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
8,0.4,0.0,0.0,-0.25,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
9,0.45,0.0,0.0,0.17,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
10,0.5,0.0,0.0,-4.41,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
11,0.55,0.0,0.0,-4.95,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
12,0.6,0.0,0.0,-5.11,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
13,0.65,0.0,0.0,-4.72,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
14,0.7,0.0,0.0,-4.84,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
15,0.75,0.0,0.0,-0.26,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
16,0.8,0.0,0.0,-4.84,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
17,0.85,0.0,0.0,-0.26,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
18,0.9,-0.0,0.65,-0.25,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
19,0.95,-0.0,0.65,-2.25,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
20,1.0,-0.0,0.65,-4.75,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
21,1.05,-0.08,1.3,-9.34,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
22,1.1,-0.08,1.3,-4.75,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
23,1.15,-0.08,1.3,-0.17,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
24,1.2,-0.08,1.95,-0.17,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
25,1.25,-0.08,1.95,4.41,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
26,1.3,-0.06,2.59,-0.17,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
27,1.35,-0.06,2.59,-4.75,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
28,1.4,-0.06,2.59,-4.83,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
29,1.45,-0.12,3.24,-6.55,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
30,1.5,-0.12,3.24,-7.27,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
31,1.55,-0.21,3.89,-7.28,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
32,1.6,-0.21,3.89,-7.38,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
33,1.65,-0.29,4.53,-7.38,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
34,1.7,-0.29,4.53,-7.5,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
35,1.75,-0.29,4.53,-7.62,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
36,1.8,-0.35,5.18,-3.04,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
37,1.85,-0.35,5.18,-3.04,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
38,1.9,-0.36,5.83,1.55,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
39,1.95,-0.36,5.83,1.55,3,0.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,0
